koi_disposition,koi_time0bk,koi_incl,koi_sma,koi_ror,koi_dor,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage
'FALSE POSITIVE',132.1021,79,0.014796,0.0112,2.8,NA,NA,0.76,NA,NA
'FALSE POSITIVE',307.367,90,0.979922,0.029,186,NA,NA,0.83,NA,NA
'FALSE POSITIVE',132.0187,78,0.023036,0.013,2.3,NA,NA,0.894,NA,NA
'FALSE POSITIVE',141.588,88,0.107273,0.0076,6,NA,NA,1.851,NA,NA
'FALSE POSITIVE',131.5131,90,0.018521,0.01,3,NA,NA,0.719,NA,NA
'FALSE POSITIVE',133.8248,39,0.034605,0.024,1.29,NA,NA,1.071,NA,NA
'FALSE POSITIVE',132.2722,87,0.02231,0.0058,2.6,NA,NA,1.333,NA,NA
'FALSE POSITIVE',158.8268,89.8,0.160913,0.0086,76,NA,NA,0.641,NA,NA
'FALSE POSITIVE',227.3027,90,0.540463,0.02,180,NA,NA,1.146,NA,NA
'FALSE POSITIVE',133.0866,89.38,0.017,0.0103,2.358,6238.0,4.46,1.03,1.12,0.3
'FALSE POSITIVE',133.7443,89.95,0.047,0.0095,7.16,6322.0,4.44,1.07,1.14,0.45
'FALSE POSITIVE',134.683,85.37,0.041,0.00741,7.1,5115.0,4.55,0.76,0.754,13.6
'FALSE POSITIVE',134.498,84.8,0.057,0.00649,7.3,5140.0,3.67,2.78,1.32,4.1
'FALSE POSITIVE',134.3554,85.94,0.024,0.00844,3.18,5679.0,4.56,0.84,0.944,0.7
CONFIRMED,133.2871,89.95,0.101,0.01808,13.5,6142.0,3.97,1.87,1.19,4.9
'FALSE POSITIVE',136.2321,89.38,0.063,0.005,8.5,8270.0,4.269,1.747,2.069,NA
'FALSE POSITIVE',133.809725,35.52,0.009,0.572,1.637,5939.0,4.41,1.037,1.009,NA
'FALSE POSITIVE',135.33658,89.95,0.036,0.1467,5.059,6057.0,4.41,1.04,1.03,3.4
'FALSE POSITIVE',134.386044,88.81,0.16,0.1778,48.04,5925.0,4.53,0.91,1.014,0.4
